20
5 15 2 0
10 30 4 1
15 45 6 0
20 60 8 1
25 75 3 0
30 90 7 1
35 105 2 0
40 120 5 1
45 135 4 0
50 150 6 1
55 160 3 0
60 170 5 1
65 180 2 0
70 190 4 1
75 200 6 0
80 210 5 1
85 220 3 0
90 230 7 1
95 240 4 0
100 250 6 1
100 500 1000
1.0 0.8 1.2 1.5 0.5 0.6 0.7 4 4
0 10 20 30 40 50 60 70 80 90 100 110 120 130 140 150 160 170 180 190 200
10 0 12 25 33 47 55 66 77 88 95 105 114 125 135 145 155 165 175 185 195
20 12 0 14 27 38 49 57 69 79 89 98 108 117 127 137 146 157 168 178 188
30 25 14 0 15 26 38 47 56 67 79 88 96 106 115 125 135 145 155 165 175
40 33 27 15 0 10 22 33 44 55 66 76 86 95 105 115 124 134 144 154 164
50 47 38 26 10 0 18 29 37 48 57 67 76 86 96 106 115 125 135 145 155
60 55 49 38 22 18 0 14 27 36 45 56 67 77 87 97 107 117 127 137 147
70 66 57 47 33 29 14 0 12 25 35 46 57 67 76 86 96 106 116 126 136
80 77 69 56 44 37 27 12 0 16 24 35 45 56 66 75 85 95 105 115 125
90 88 79 67 55 48 36 25 16 0 15 27 36 46 55 66 76 86 96 106 116
100 95 89 79 66 57 45 35 24 15 0 12 25 35 45 55 65 75 85 95 105
110 105 98 88 76 67 56 46 35 27 12 0 14 26 36 46 56 66 76 86 96
120 114 108 96 86 76 67 57 45 36 25 14 0 15 25 35 45 55 65 75 85
130 125 117 106 95 86 77 67 56 46 35 26 15 0 10 20 30 40 50 60 70
140 135 127 115 105 96 87 76 66 55 45 36 25 10 0 12 24 36 48 60 72
150 145 137 125 115 106 97 86 75 66 55 46 35 20 12 0 15 28 41 53 66
160 155 146 135 124 115 107 96 85 76 65 56 45 30 24 15 0 12 25 37 49
170 165 157 145 134 125 117 106 95 86 75 66 55 40 36 28 12 0 14 27 39
180 175 168 155 144 135 127 116 105 96 85 76 65 50 48 41 25 14 0 12 24
190 185 178 165 154 145 137 126 115 106 95 86 75 60 60 53 37 27 12 0 14
200 195 188 175 164 155 147 136 125 116 105 96 85 70 72 66 49 39 24 14 0
